# Phase 2 blog plan — Green Plus EXIM
# data_backed=yes rows are anchored to a src/_data/trade-data/*.json file with real (if sometimes low-confidence) sourced figures.
# data_backed=partial rows use verified DGFT-policy facts or verified aggregate totals but lack a full country breakdown.
# data_backed=no rows are qualitative/process/buyer-education posts that don't depend on country trade-data at all, or are flagged for future research before writing.
# Priority: P1 = write in batch 1 (best-sourced, matches brief's seed titles), P2 = batch 2-3, P3 = needs more research first.
slug,language,target_country,primary_keyword,secondary_keywords,search_intent,product_page_to_link,market_page_to_link,data_file,priority,data_backed
organic-cow-manure-exporter-from-india,en,,organic cow manure exporter from India,"cow dung fertilizer export India, vermicompost supplier India",commercial,/products/organic-manure/,/markets/,organic-manure-3101,P1,yes
organic-cow-manure-supplier-italy,en,IT,organic manure supplier for Italy,"cow dung export Italy, bulk organic fertilizer Italy",commercial,/products/organic-manure/,/markets/europe/,organic-manure-3101,P1,yes
fournisseur-engrais-bio-inde,fr,FR,fournisseur d'engrais organique bio d'Inde,"engrais naturel Inde, fumier de vache export",commercial,/products/organic-manure/,/markets/europe/,organic-manure-3101,P2,yes
frozen-vannamei-shrimp-exporter-usa,en,US,frozen vannamei shrimp exporter to USA,"shrimp import from India price, MPEDA shrimp export",commercial,/products/fish-seafood/,/markets/north-america/,frozen-shrimp-030617,P1,yes
frozen-shrimp-import-from-india-to-china,en,CN,importing frozen shrimp from India to China,"shrimp supplier India China, frozen shrimp price China",commercial,/products/fish-seafood/,/markets/east-asia/,frozen-shrimp-030617,P1,yes
leverancier-bevroren-garnalen-india,nl,NL,leverancier bevroren garnalen uit India,"garnalen import India prijs, EU garnalen import",commercial,/products/fish-seafood/,/markets/europe/,frozen-shrimp-030617,P2,yes
how-many-tonnes-shrimp-fit-20ft-reefer-container,en,,how many tonnes of frozen shrimp fit in a 20ft reefer container,"reefer container shrimp loading, shrimp export packaging",informational,/products/fish-seafood/,/resources/container-loading-calculator/,frozen-shrimp-030617,P2,partial
soybean-meal-exporter-from-india-germany,en,DE,soybean meal exporter from India to Germany,"soymeal supplier Germany, DORB animal feed Germany",commercial,/products/animal-feed/,/markets/europe/,soybean-meal-2304,P1,yes
soybean-meal-supplier-bangladesh,en,BD,soybean meal supplier India Bangladesh,"animal feed import Bangladesh, soymeal wholesale price",commercial,/products/animal-feed/,/markets/south-asia/,soybean-meal-2304,P2,yes
soybean-meal-wholesale-nepal,en,NP,soybean meal wholesale supplier India Nepal,"cattle feed Nepal import, soymeal price Nepal",commercial,/products/animal-feed/,/markets/south-asia/,soybean-meal-2304,P2,yes
red-onion-exporter-from-india-bangladesh,en,BD,red onion exporter from India to Bangladesh,"onion supplier Bangladesh price, red onion bulk export",commercial,/products/fresh-vegetables/,/markets/south-asia/,red-onion-0703,P1,yes
pembekal-bawang-merah-dari-india,ms,MY,pembekal bawang merah dari India,"harga bawang merah import India, bawang India pukal",commercial,/products/fresh-vegetables/,/markets/southeast-asia/,red-onion-0703,P1,yes
mawrid-basal-ahmar-min-alhind-uae,ar,AE,مورد بصل أحمر من الهند,"استيراد بصل من الهند, سعر بصل أحمر بالجملة",commercial,/products/fresh-vegetables/,/markets/middle-east-gcc/,red-onion-0703,P1,yes
documents-needed-import-onions-from-india,en,MY,documents needed to import onions from India into Malaysia,"onion import documentation Malaysia, phytosanitary certificate onion",informational,/products/fresh-vegetables/,/markets/southeast-asia/,red-onion-0703,P2,partial
how-to-verify-indian-onion-exporter-before-you-pay,en,,how to verify an Indian onion exporter before you pay,"onion export scam check, verify exporter IEC APEDA",informational,/products/fresh-vegetables/,/get-a-quote/,red-onion-0703,P2,no
fresh-grapes-exporter-from-india-netherlands,en,NL,fresh grapes exporter from India to Netherlands,"grapes CIF Rotterdam, Indian grapes Europe import",commercial,/products/fresh-fruits/,/markets/europe/,grapes-0806,P1,yes
reefer-shipping-grapes-from-india-to-europe,en,,reefer shipping grapes from India to Europe,"grapes transit time Europe, cold chain grapes export",informational,/products/fresh-fruits/,/logistics-shipping/,grapes-0806,P2,partial
pomegranate-exporter-from-india-uae,ar,AE,مصدر رمان طازج من الهند,"استيراد رمان من الهند, سعر رمان جملة",commercial,/products/fresh-fruits/,/markets/middle-east-gcc/,pomegranate-0810,P1,yes
when-to-buy-indian-pomegranates-harvest-calendar,en,,when to buy Indian pomegranates harvest calendar,"pomegranate season India, Bhagwa pomegranate availability",informational,/products/fresh-fruits/,/resources/harvest-calendar/,pomegranate-0810,P2,partial
1121-basmati-rice-exporter-saudi-arabia,ar,SA,مصدر أرز بسمتي 1121 من الهند,"مورد أرز بسمتي السعودية, سعر أرز بسمتي بالجملة",commercial,/products/grains-rice/,/markets/middle-east-gcc/,basmati-rice-1006,P1,yes
basmati-rice-supplier-iraq,ar,IQ,مورد أرز بسمتي من الهند العراق,"استيراد أرز بسمتي العراق, سعر أرز بسمتي",commercial,/products/grains-rice/,/markets/middle-east-gcc/,basmati-rice-1006,P1,yes
basmati-rice-wholesale-yemen,ar,YE,أرز بسمتي بالجملة من الهند,"مورد أرز اليمن, استيراد أرز من الهند",commercial,/products/grains-rice/,/markets/middle-east-gcc/,basmati-rice-1006,P2,yes
1121-basmati-vs-pusa-basmati-grades-length-aging,en,,1121 basmati vs Pusa basmati grades length aging,"basmati rice grading, basmati rice aging process",informational,/products/grains-rice/,/resources/glossary/,basmati-rice-1006,P1,partial
basmati-rice-export-price-india-trends,en,,basmati rice export price from India FOB trends,"basmati price forecast, rice export price factors",informational,/products/grains-rice/,/get-a-quote/,basmati-rice-1006,P2,yes
sesame-seeds-exporter-from-india-china,en,CN,sesame seeds exporter from India to China,"hulled sesame seeds China import, sesame price China",commercial,/products/oilseeds/,/markets/east-asia/,sesame-seeds-1207,P2,yes
sesame-seeds-supplier-usa,en,US,sesame seeds supplier India USA,"natural sesame seeds import USA, bulk sesame price",commercial,/products/oilseeds/,/markets/north-america/,sesame-seeds-1207,P2,yes
banana-exporter-from-india-iraq,ar,IQ,مصدر موز من الهند العراق,"استيراد موز من الهند, سعر موز بالجملة",commercial,/products/fresh-fruits/,/markets/middle-east-gcc/,banana-0803,P1,yes
banana-exporter-from-india-uae,ar,AE,مصدر موز من الهند الإمارات,"سعر موز CIF من الهند, مورد موز طازج",commercial,/products/fresh-fruits/,/markets/middle-east-gcc/,banana-0803,P1,yes
banana-supplier-oman,ar,OM,استيراد موز من الهند عمان,"مورد موز عمان, موز كافنديش الهند",commercial,/products/fresh-fruits/,/markets/middle-east-gcc/,banana-0803,P2,yes
how-exporting-with-green-plus-exim-works,en,,how exporting with Green Plus EXIM works,"India export process steps, RFQ to shipment process",informational,/export-process/,/get-a-quote/,,P1,no
incoterms-guide-fob-cif-cfr-exw-explained,en,,Incoterms guide FOB CIF CFR EXW explained for importers,"Incoterms buyer guide, choosing FOB vs CIF",informational,/resources/incoterms-guide/,/logistics-shipping/,,P1,no
how-to-verify-an-indian-exporter-before-you-pay,en,,how to verify an Indian exporter before you pay,"IEC verification, APEDA registration check, export scam prevention",informational,/quality-compliance/,/get-a-quote/,,P1,no
payment-terms-lc-advance-tt-explained-for-importers,en,,LC advance payment TT explained for importers buying from India,"letter of credit import India, CAD payment export",informational,/payment-terms/,/get-a-quote/,,P2,no
india-vs-vietnam-vs-ecuador-shrimp-sourcing,en,,India vs Vietnam vs Ecuador for shrimp sourcing,"shrimp sourcing comparison, best country to import shrimp from",informational,/products/fish-seafood/,/markets/,frozen-shrimp-030617,P2,partial
india-export-house-vs-trading-company-what-buyers-should-know,en,,export house vs trading company what importers should know,"how to choose an Indian exporter, export house explained",informational,/why-green-plus-exim/,/get-a-quote/,,P3,no
proveedor-frutas-frescas-india,es,ES,proveedor de frutas frescas de la India,"importar fruta de la India, exportador mango granada India",commercial,/products/fresh-fruits/,/markets/europe/,,P3,no
pemasok-bungkil-kedelai-india,id,ID,pemasok bungkil kedelai dari India,"impor pakan ternak India, harga bungkil kedelai",commercial,/products/animal-feed/,/markets/southeast-asia/,,P3,no
nha-cung-cap-vung-an-do,vi,VN,nhà cung cấp mè (vừng) từ Ấn Độ,"nhập khẩu hạt vừng Ấn Độ, giá mè xuất khẩu",commercial,/products/oilseeds/,/markets/southeast-asia/,,P3,no
fornecedor-frutas-frescas-india-portugal,pt,PT,fornecedor de frutas frescas da Índia,"importar romã da Índia, exportador de manga e uva",commercial,/products/fresh-fruits/,/markets/europe/,,P3,no
lieferant-getreide-huelsenfruechte-indien,de,DE,Lieferant für Getreide und Hülsenfrüchte aus Indien,"Reis Import Deutschland, Hülsenfrüchte Großhandel Indien",commercial,/products/pulses/,/markets/europe/,,P3,no
dried-red-chilli-exporter-india-to-china,en,CN,dried red chilli exporter from India to China,"India chilli export China price, Teja S17 chilli supplier",commercial,/products/spices/,/markets/east-asia/,red-chilli-090420,P1,yes
dried-red-chilli-supplier-thailand,en,TH,Indian dried chilli supplier for Thailand,"chilli import Thailand from India, Guntur chilli export",commercial,/products/spices/,/markets/southeast-asia/,red-chilli-090420,P1,yes
pemasok-cabai-kering-india,id,ID,pemasok cabai kering dari India,"impor cabai kering India, harga cabai kering India",commercial,/products/spices/,/markets/southeast-asia/,red-chilli-090420,P1,yes
pembekal-cili-kering-india,ms,MY,pembekal cili kering dari India,"import cili kering India, harga cili kering pukal",commercial,/products/spices/,/markets/southeast-asia/,red-chilli-090420,P2,yes
india-cumin-seed-exporter-china,en,CN,Indian cumin seed exporter to China,"cumin export India price, jeera export China",commercial,/products/spices/,/markets/east-asia/,cumin-090931,P1,yes
mawrid-kamoun-hind,ar,AE,مورد بذور الكمون من الهند,"استيراد الكمون الهندي, سعر الكمون تصدير",commercial,/products/spices/,/markets/middle-east-gcc/,cumin-090931,P1,yes
fournisseur-cumin-inde-maroc,fr,MA,fournisseur de graines de cumin d'Inde,"importer cumin Inde Maroc, prix cumin export",commercial,/products/spices/,/markets/africa/,cumin-090931,P2,yes
turmeric-exporter-india-to-uae,en,AE,turmeric exporter from India to UAE,"haldi export Dubai, curcumin turmeric supplier UAE",commercial,/products/spices/,/markets/middle-east-gcc/,turmeric-091030,P1,yes
musaddir-kurkum-hind,ar,AE,مصدر الكركم من الهند,"استيراد الكركم الهندي بالجملة, سعر الكركم",commercial,/products/spices/,/markets/middle-east-gcc/,turmeric-091030,P1,yes
pembekal-kunyit-india,ms,MY,pembekal kunyit dari India,"import kunyit India Malaysia, harga kunyit pukal",commercial,/products/spices/,/markets/southeast-asia/,turmeric-091030,P2,yes
kurkuma-lieferant-indien,de,DE,Kurkuma Lieferant aus Indien,"Kurkuma Großhandel Import, Kurkuma Pulver Indien kaufen",commercial,/products/spices/,/markets/europe/,turmeric-091030,P2,yes
cardamom-exporter-india-gcc,en,AE,cardamom exporter from India to the GCC,"green cardamom export price, Indian elaichi supplier Dubai",commercial,/products/spices/,/markets/middle-east-gcc/,cardamom-090831,P1,yes
mawrid-hail-hind-saudia,ar,SA,مورد حبهان من الهند بالجملة,"استيراد الهيل الهندي السعودية, سعر الهيل الأخضر",commercial,/products/spices/,/markets/middle-east-gcc/,cardamom-090831,P1,yes
indian-black-pepper-exporter-usa,en,US,Indian black pepper exporter to USA,"Malabar black pepper export, India pepper price FOB",commercial,/products/spices/,/markets/north-america/,black-pepper-090411,P2,yes
schwarzer-pfeffer-lieferant-indien,de,DE,schwarzer Pfeffer Lieferant aus Indien,"Pfeffer Import Indien, Malabar Pfeffer Großhandel",commercial,/products/spices/,/markets/europe/,black-pepper-090411,P2,yes
